ad_id	reporting_start	reporting_end	campaign_id	fb_campaign_id	age	gender	impressions	clicks	spent	total_conversion	approved_conversion	interest_type	interest
780700	8/18/2017	8/18/2017	936	116252	30-34	F	3745	0	0	1	0	interest2	33
780700	8/18/2017	8/18/2017	936	116252	30-34	F	3745	0	0	1	0	interest3	30
780748	8/18/2017	8/18/2017	936	116265	30-34	F	830	0	0	1	0	interest1	24
780748	8/18/2017	8/18/2017	936	116265	30-34	F	830	0	0	1	0	interest2	26
780748	8/18/2017	8/18/2017	936	116265	30-34	F	830	0	0	1	0	interest3	28
781438	8/18/2017	8/18/2017	936	116385	30-34	M	2086	0	0	1	0	interest1	63
781438	8/18/2017	8/18/2017	936	116385	30-34	M	2086	0	0	1	0	interest2	65
781438	8/18/2017	8/18/2017	936	116385	30-34	M	2086	0	0	1	0	interest3	68
781556	8/24/2017	8/24/2017	936	116405	30-34	F	1772	0	0	1	0	interest1	32
781556	8/24/2017	8/24/2017	936	116405	30-34	F	1772	0	0	1	0	interest2	37
781556	8/24/2017	8/24/2017	936	116405	30-34	F	1772	0	0	1	0	interest3	36
781559	8/18/2017	8/18/2017	936	116405	30-34	F	1783	0	0	1	0	interest1	32
781559	8/18/2017	8/18/2017	936	116405	30-34	F	1783	0	0	1	0	interest2	38
781559	8/18/2017	8/18/2017	936	116405	30-34	F	1783	0	0	1	0	interest3	34
781950	8/20/2017	8/20/2017	936	116471	30-34	F	1984	0	0	1	0	interest1	20
781950	8/20/2017	8/20/2017	936	116471	30-34	F	1984	0	0	1	0	interest2	26
781950	8/20/2017	8/20/2017	936	116471	30-34	F	1984	0	0	1	0	interest3	21
782130	8/21/2017	8/21/2017	936	116501	30-34	F	7301	0	0	1	0	interest1	16
782130	8/21/2017	8/21/2017	936	116501	30-34	F	7301	0	0	1	0	interest2	18
782130	8/21/2017	8/21/2017	936	116501	30-34	F	7301	0	0	1	0	interest3	21
782171	8/20/2017	8/20/2017	936	116507	30-34	F	535	0	0	1	0	interest1	30
782171	8/20/2017	8/20/2017	936	116507	30-34	F	535	0	0	1	0	interest2	31
782171	8/20/2017	8/20/2017	936	116507	30-34	F	535	0	0	1	0	interest3	32
782180	8/19/2017	8/19/2017	936	116509	30-34	M	3396	0	0	1	0	interest1	29
782180	8/19/2017	8/19/2017	936	116509	30-34	M	3396	0	0	1	0	interest2	34
782180	8/19/2017	8/19/2017	936	116509	30-34	M	3396	0	0	1	0	interest3	30
782219	8/19/2017	8/19/2017	936	116515	30-34	M	977	0	0	1	0	interest1	26
782219	8/19/2017	8/19/2017	936	116515	30-34	M	977	0	0	1	0	interest2	27
782219	8/19/2017	8/19/2017	936	116515	30-34	M	977	0	0	1	0	interest3	32
782587	8/18/2017	8/18/2017	936	116577	30-34	M	2499	0	0	1	0	interest1	10
782587	8/18/2017	8/18/2017	936	116577	30-34	M	2499	0	0	1	0	interest2	13
782587	8/18/2017	8/18/2017	936	116577	30-34	M	2499	0	0	1	0	interest3	16
782658	8/23/2017	8/23/2017	936	116589	30-34	M	4827	0	0	1	0	interest1	15
782658	8/23/2017	8/23/2017	936	116589	30-34	M	4827	0	0	1	0	interest2	17
782658	8/23/2017	8/23/2017	936	116589	30-34	M	4827	0	0	1	0	interest3	19
950099	8/22/2017	8/22/2017	936	123443	30-34	M	1120	0	0	1	0	interest1	18
950099	8/22/2017	8/22/2017	936	123443	30-34	M	1120	0	0	1	0	interest2	23
950099	8/22/2017	8/22/2017	936	123443	30-34	M	1120	0	0	1	0	interest3	23
950182	8/22/2017	8/22/2017	936	123457	30-34	M	3242	0	0	1	0	interest1	16
950182	8/22/2017	8/22/2017	936	123457	30-34	M	3242	0	0	1	0	interest2	20
950182	8/22/2017	8/22/2017	936	123457	30-34	M	3242	0	0	1	0	interest3	19
950345	8/23/2017	8/23/2017	936	123484	30-34	M	616	0	0	1	0	interest1	64
950345	8/23/2017	8/23/2017	936	123484	30-34	M	616	0	0	1	0	interest2	66
950345	8/23/2017	8/23/2017	936	123484	30-34	M	616	0	0	1	0	interest3	65
950521	8/18/2017	8/18/2017	936	123514	30-34	M	351	0	0	1	0	interest1	21
950521	8/18/2017	8/18/2017	936	123514	30-34	M	351	0	0	1	0	interest2	27
950521	8/18/2017	8/18/2017	936	123514	30-34	M	351	0	0	1	0	interest3	25
950550	8/19/2017	8/19/2017	936	123519	30-34	M	219	0	0	1	0	interest1	30
950550	8/19/2017	8/19/2017	936	123519	30-34	M	219	0	0	1	0	interest2	35
950550	8/19/2017	8/19/2017	936	123519	30-34	M	219	0	0	1	0	interest3	36
950578	8/19/2017	8/19/2017	936	123523	30-34	M	550	0	0	1	0	interest1	32
950578	8/19/2017	8/19/2017	936	123523	30-34	M	550	0	0	1	0	interest2	37
950578	8/19/2017	8/19/2017	936	123523	30-34	M	550	0	0	1	0	interest3	37
950595	8/18/2017	8/18/2017	936	123526	30-34	M	465	0	0	1	0	interest1	26
950595	8/18/2017	8/18/2017	936	123526	30-34	M	465	0	0	1	0	interest2	30
950595	8/18/2017	8/18/2017	936	123526	30-34	M	465	0	0	1	0	interest3	31
950649	8/23/2017	8/23/2017	936	123535	30-34	M	429	0	0	1	0	interest1	64
950649	8/23/2017	8/23/2017	936	123535	30-34	M	429	0	0	1	0	interest2	67
950649	8/23/2017	8/23/2017	936	123535	30-34	M	429	0	0	1	0	interest3	70
950787	8/18/2017	8/18/2017	936	123558	30-34	M	199	0	0	1	0	interest1	27
950787	8/18/2017	8/18/2017	936	123558	30-34	M	199	0	0	1	0	interest2	32
950787	8/18/2017	8/18/2017	936	123558	30-34	M	199	0	0	1	0	interest3	30
951043	8/19/2017	8/19/2017	936	123601	30-34	F	3189	0	0	1	0	interest1	16
951043	8/19/2017	8/19/2017	936	123601	30-34	F	3189	0	0	1	0	interest2	22
951043	8/19/2017	8/19/2017	936	123601	30-34	F	3189	0	0	1	0	interest3	17
951045	8/19/2017	8/19/2017	936	123601	30-34	F	3348	0	0	1	0	interest1	16
951045	8/19/2017	8/19/2017	936	123601	30-34	F	3348	0	0	1	0	interest2	20
951045	8/19/2017	8/19/2017	936	123601	30-34	F	3348	0	0	1	0	interest3	21
951420	8/21/2017	8/21/2017	936	123664	30-34	F	843	0	0	1	0	interest1	27
951420	8/21/2017	8/21/2017	936	123664	30-34	F	843	0	0	1	0	interest2	33
951420	8/21/2017	8/21/2017	936	123664	30-34	F	843	0	0	1	0	interest3	32
951448	8/22/2017	8/22/2017	936	123668	30-34	F	696	0	0	1	0	interest1	25
951448	8/22/2017	8/22/2017	936	123668	30-34	F	696	0	0	1	0	interest2	30
951448	8/22/2017	8/22/2017	936	123668	30-34	F	696	0	0	1	0	interest3	28
951508	8/21/2017	8/21/2017	936	123678	30-34	F	1134	0	0	1	0	interest1	18
951508	8/21/2017	8/21/2017	936	123678	30-34	F	1134	0	0	1	0	interest2	21
951508	8/21/2017	8/21/2017	936	123678	30-34	F	1134	0	0	1	0	interest3	22
951854	8/25/2017	8/25/2017	936	123736	30-34	F	487	0	0	1	0	interest1	20
951854	8/25/2017	8/25/2017	936	123736	30-34	F	487	0	0	1	0	interest2	26
951854	8/25/2017	8/25/2017	936	123736	30-34	F	487	0	0	1	0	interest3	25
734399	8/28/2017	8/28/2017	936	108686	35-39	M	239	0	0	1	0	interest1	23
734399	8/28/2017	8/28/2017	936	108686	35-39	M	239	0	0	1	0	interest2	24
734399	8/28/2017	8/28/2017	936	108686	35-39	M	239	0	0	1	0	interest3	27
734418	8/29/2017	8/29/2017	936	108689	35-39	M	591	0	0	1	0	interest1	26
734418	8/29/2017	8/29/2017	936	108689	35-39	M	591	0	0	1	0	interest2	27
734418	8/29/2017	8/29/2017	936	108689	35-39	M	591	0	0	1	0	interest3	28
735048	8/18/2017	8/18/2017	936	108794	35-39	F	1393	0	0	1	0	interest1	64
735048	8/18/2017	8/18/2017	936	108794	35-39	F	1393	0	0	1	0	interest2	65
735048	8/18/2017	8/18/2017	936	108794	35-39	F	1393	0	0	1	0	interest3	68
737097	8/21/2017	8/21/2017	936	109498	35-39	M	715	0	0	1	0	interest1	7
737097	8/21/2017	8/21/2017	936	109498	35-39	M	715	0	0	1	0	interest2	10
737097	8/21/2017	8/21/2017	936	109498	35-39	M	715	0	0	1	0	interest3	11
747370	8/20/2017	8/20/2017	936	110862	35-39	M	2936	0	0	1	0	interest1	16
747370	8/20/2017	8/20/2017	936	110862	35-39	M	2936	0	0	1	0	interest2	17
747370	8/20/2017	8/20/2017	936	110862	35-39	M	2936	0	0	1	0	interest3	19
747435	8/21/2017	8/21/2017	936	110873	35-39	M	1032	0	0	1	0	interest1	28
747435	8/21/2017	8/21/2017	936	110873	35-39	M	1032	0	0	1	0	interest2	29
747435	8/21/2017	8/21/2017	936	110873	35-39	M	1032	0	0	1	0	interest3	30
748045	8/25/2017	8/25/2017	936	110975	35-39	F	1238	0	0	1	0	interest1	63
748045	8/25/2017	8/25/2017	936	110975	35-39	F	1238	0	0	1	0	interest2	69
748045	8/25/2017	8/25/2017	936	110975	35-39	F	1238	0	0	1	0	interest3	64
777130	8/30/2017	8/30/2017	936	115619	35-39	M	6260	0	0	1	0	interest1	16
777130	8/30/2017	8/30/2017	936	115619	35-39	M	6260	0	0	1	0	interest2	21
777130	8/30/2017	8/30/2017	936	115619	35-39	M	6260	0	0	1	0	interest3	22
777131	8/22/2017	8/22/2017	936	115619	35-39	M	6359	0	0	1	0	interest1	16
777131	8/22/2017	8/22/2017	936	115619	35-39	M	6359	0	0	1	0	interest2	19
777131	8/22/2017	8/22/2017	936	115619	35-39	M	6359	0	0	1	0	interest3	21
778113	8/28/2017	8/28/2017	936	115796	35-39	M	4595	0	0	1	0	interest1	29
778113	8/28/2017	8/28/2017	936	115796	35-39	M	4595	0	0	1	0	interest2	35
778113	8/28/2017	8/28/2017	936	115796	35-39	M	4595	0	0	1	0	interest3	35
778148	8/28/2017	8/28/2017	936	115802	35-39	M	3199	0	0	1	0	interest1	28
778148	8/28/2017	8/28/2017	936	115802	35-39	M	3199	0	0	1	0	interest2	32
778148	8/28/2017	8/28/2017	936	115802	35-39	M	3199	0	0	1	0	interest3	30
778674	8/29/2017	8/29/2017	936	115890	35-39	M	3732	0	0	1	0	interest1	29
778674	8/29/2017	8/29/2017	936	115890	35-39	M	3732	0	0	1	0	interest2	31
778674	8/29/2017	8/29/2017	936	115890	35-39	M	3732	0	0	1	0	interest3	30
779608	8/29/2017	8/29/2017	936	116059	35-39	F	2459	0	0	1	0	interest1	15
779608	8/29/2017	8/29/2017	936	116059	35-39	F	2459	0	0	1	0	interest2	18
779608	8/29/2017	8/29/2017	936	116059	35-39	F	2459	0	0	1	0	interest3	16
779944	8/21/2017	8/21/2017	936	116115	35-39	M	2549	0	0	1	0	interest1	10
779944	8/21/2017	8/21/2017	936	116115	35-39	M	2549	0	0	1	0	interest2	13
779944	8/21/2017	8/21/2017	936	116115	35-39	M	2549	0	0	1	0	interest3	16
781207	8/18/2017	8/18/2017	936	116347	35-39	F	2755	0	0	1	0	interest1	64
781207	8/18/2017	8/18/2017	936	116347	35-39	F	2755	0	0	1	0	interest2	67
781207	8/18/2017	8/18/2017	936	116347	35-39	F	2755	0	0	1	0	interest3	70
781470	8/18/2017	8/18/2017	936	116391	35-39	M	6016	0	0	1	0	interest1	16
781470	8/18/2017	8/18/2017	936	116391	35-39	M	6016	0	0	1	0	interest2	17
781470	8/18/2017	8/18/2017	936	116391	35-39	M	6016	0	0	1	0	interest3	18
782706	8/23/2017	8/23/2017	936	116597	35-39	F	761	0	0	1	0	interest1	30
782706	8/23/2017	8/23/2017	936	116597	35-39	F	761	0	0	1	0	interest2	32
782706	8/23/2017	8/23/2017	936	116597	35-39	F	761	0	0	1	0	interest3	32
950772	8/18/2017	8/18/2017	936	123556	35-39	M	460	0	0	1	0	interest1	28
950772	8/18/2017	8/18/2017	936	123556	35-39	M	460	0	0	1	0	interest2	30
950772	8/18/2017	8/18/2017	936	123556	35-39	M	460	0	0	1	0	interest3	33
950773	8/18/2017	8/18/2017	936	123556	35-39	M	471	0	0	1	0	interest1	28
950773	8/18/2017	8/18/2017	936	123556	35-39	M	471	0	0	1	0	interest2	29
950773	8/18/2017	8/18/2017	936	123556	35-39	M	471	0	0	1	0	interest3	32
950808	8/22/2017	8/22/2017	936	123562	35-39	M	398	0	0	1	0	interest1	32
950808	8/22/2017	8/22/2017	936	123562	35-39	M	398	0	0	1	0	interest2	33
950808	8/22/2017	8/22/2017	936	123562	35-39	M	398	0	0	1	0	interest3	38
951294	8/19/2017	8/19/2017	936	123643	35-39	F	699	0	0	1	0	interest1	15
951294	8/19/2017	8/19/2017	936	123643	35-39	F	699	0	0	1	0	interest2	16
951294	8/19/2017	8/19/2017	936	123643	35-39	F	699	0	0	1	0	interest3	17
951305	8/19/2017	8/19/2017	936	123644	35-39	F	1104	0	0	1	0	interest1	10
951305	8/19/2017	8/19/2017	936	123644	35-39	F	1104	0	0	1	0	interest2	12
951305	8/19/2017	8/19/2017	936	123644	35-39	F	1104	0	0	1	0	interest3	13
951692	8/21/2017	8/21/2017	936	123709	35-39	F	1107	0	0	1	0	interest1	10
951692	8/21/2017	8/21/2017	936	123709	35-39	F	1107	0	0	1	0	interest2	15
951692	8/21/2017	8/21/2017	936	123709	35-39	F	1107	0	0	1	0	interest3	14
951810	8/24/2017	8/24/2017	936	123729	35-39	F	2226	0	0	1	0	interest1	16
951810	8/24/2017	8/24/2017	936	123729	35-39	F	2226	0	0	1	0	interest2	17
951810	8/24/2017	8/24/2017	936	123729	35-39	F	2226	0	0	1	0	interest3	22
734605	8/28/2017	8/28/2017	936	108720	40-44	M	834	0	0	1	0	interest1	36
734605	8/28/2017	8/28/2017	936	108720	40-44	M	834	0	0	1	0	interest2	37
734605	8/28/2017	8/28/2017	936	108720	40-44	M	834	0	0	1	0	interest3	41
734666	8/28/2017	8/28/2017	936	108730	45-49	M	371	0	0	1	0	interest1	19
734666	8/28/2017	8/28/2017	936	108730	45-49	M	371	0	0	1	0	interest2	24
734666	8/28/2017	8/28/2017	936	108730	45-49	M	371	0	0	1	0	interest3	20
734737	8/27/2017	8/27/2017	936	108742	45-49	M	839	0	0	1	0	interest1	31
734737	8/27/2017	8/27/2017	936	108742	45-49	M	839	0	0	1	0	interest2	37
734737	8/27/2017	8/27/2017	936	108742	45-49	M	839	0	0	1	0	interest3	33
735065	8/19/2017	8/19/2017	936	108797	40-44	F	648	0	0	1	0	interest1	7
735065	8/19/2017	8/19/2017	936	108797	40-44	F	648	0	0	1	0	interest2	10
735065	8/19/2017	8/19/2017	936	108797	40-44	F	648	0	0	1	0	interest3	12
735151	8/19/2017	8/19/2017	936	108811	40-44	F	926	0	0	1	0	interest1	28
735151	8/19/2017	8/19/2017	936	108811	40-44	F	926	0	0	1	0	interest2	30
735151	8/19/2017	8/19/2017	936	108811	40-44	F	926	0	0	1	0	interest3	31
735242	8/18/2017	8/18/2017	936	108826	45-49	F	530	0	0	1	0	interest1	19
735242	8/18/2017	8/18/2017	936	108826	45-49	F	530	0	0	1	0	interest2	25
735242	8/18/2017	8/18/2017	936	108826	45-49	F	530	0	0	1	0	interest3	21
737375	8/21/2017	8/21/2017	936	109565	40-44	M	1415	0	0	1	0	interest1	10
737375	8/21/2017	8/21/2017	936	109565	40-44	M	1415	0	0	1	0	interest2	11
737375	8/21/2017	8/21/2017	936	109565	40-44	M	1415	0	0	1	0	interest3	11
738463	8/20/2017	8/20/2017	936	109826	40-44	F	542	0	0	1	0	interest1	21
738463	8/20/2017	8/20/2017	936	109826	40-44	F	542	0	0	1	0	interest2	23
738463	8/20/2017	8/20/2017	936	109826	40-44	F	542	0	0	1	0	interest3	24
738560	8/19/2017	8/19/2017	936	109844	40-44	F	1338	0	0	1	0	interest1	64
738560	8/19/2017	8/19/2017	936	109844	40-44	F	1338	0	0	1	0	interest2	70
738560	8/19/2017	8/19/2017	936	109844	40-44	F	1338	0	0	1	0	interest3	66
738606	8/21/2017	8/21/2017	936	109852	45-49	F	529	0	0	1	0	interest1	19
738606	8/21/2017	8/21/2017	936	109852	45-49	F	529	0	0	1	0	interest2	20
738606	8/21/2017	8/21/2017	936	109852	45-49	F	529	0	0	1	0	interest3	23
747675	8/25/2017	8/25/2017	936	110913	45-49	M	673	0	0	1	0	interest1	20
747675	8/25/2017	8/25/2017	936	110913	45-49	M	673	0	0	1	0	interest2	22
747675	8/25/2017	8/25/2017	936	110913	45-49	M	673	0	0	1	0	interest3	21
776685	8/22/2017	8/22/2017	936	115545	40-44	M	7745	0	0	1	0	interest1	16
776685	8/22/2017	8/22/2017	936	115545	40-44	M	7745	0	0	1	0	interest2	22
776685	8/22/2017	8/22/2017	936	115545	40-44	M	7745	0	0	1	0	interest3	17
776793	8/22/2017	8/22/2017	936	115563	45-49	M	1609	0	0	1	0	interest1	21
776793	8/22/2017	8/22/2017	936	115563	45-49	M	1609	0	0	1	0	interest2	23
776793	8/22/2017	8/22/2017	936	115563	45-49	M	1609	0	0	1	0	interest3	26
777482	8/25/2017	8/25/2017	936	115691	45-49	M	2479	0	0	1	0	interest1	28
777482	8/25/2017	8/25/2017	936	115691	45-49	M	2479	0	0	1	0	interest2	32
777482	8/25/2017	8/25/2017	936	115691	45-49	M	2479	0	0	1	0	interest3	32
777673	8/23/2017	8/23/2017	936	115723	40-44	M	7101	0	0	1	0	interest1	16
777673	8/23/2017	8/23/2017	936	115723	40-44	M	7101	0	0	1	0	interest2	18
777673	8/23/2017	8/23/2017	936	115723	40-44	M	7101	0	0	1	0	interest3	17
778208	8/27/2017	8/27/2017	936	115812	40-44	F	2755	0	0	1	0	interest1	29
778208	8/27/2017	8/27/2017	936	115812	40-44	F	2755	0	0	1	0	interest2	32
778208	8/27/2017	8/27/2017	936	115812	40-44	F	2755	0	0	1	0	interest3	32
779057	8/29/2017	8/29/2017	936	115954	40-44	M	4414	0	0	1	0	interest1	15
779057	8/29/2017	8/29/2017	936	115954	40-44	M	4414	0	0	1	0	interest2	21
779057	8/29/2017	8/29/2017	936	115954	40-44	M	4414	0	0	1	0	interest3	21
779488	8/29/2017	8/29/2017	936	116039	45-49	M	1006	0	0	1	0	interest1	65
779488	8/29/2017	8/29/2017	936	116039	45-49	M	1006	0	0	1	0	interest2	68
779488	8/29/2017	8/29/2017	936	116039	45-49	M	1006	0	0	1	0	interest3	69
780666	8/24/2017	8/24/2017	936	116246	45-49	F	3462	0	0	1	0	interest1	10
780666	8/24/2017	8/24/2017	936	116246	45-49	F	3462	0	0	1	0	interest2	13
780666	8/24/2017	8/24/2017	936	116246	45-49	F	3462	0	0	1	0	interest3	13
780759	8/18/2017	8/18/2017	936	116267	45-49	F	2912	0	0	1	0	interest1	18
780759	8/18/2017	8/18/2017	936	116267	45-49	F	2912	0	0	1	0	interest2	24
780759	8/18/2017	8/18/2017	936	116267	45-49	F	2912	0	0	1	0	interest3	22
781907	8/19/2017	8/19/2017	936	116463	45-49	F	1314	0	0	1	0	interest1	21
781907	8/19/2017	8/19/2017	936	116463	45-49	F	1314	0	0	1	0	interest2	27
781907	8/19/2017	8/19/2017	936	116463	45-49	F	1314	0	0	1	0	interest3	23
782443	8/20/2017	8/20/2017	936	116553	40-44	F	979	0	0	1	0	interest1	20
